Artists_Accession_Number,Art_Term
"2866","Painting"
"2866","Stained Glass"
"2866","Tapestry"
"2868","Painting"
"2869","Crafts"
"2870","Painting"
"2871","Painting"
"2872","Painting"
"2873","Painting"
"2874","Painting"
"2874","Watercolor"
"2875","Textiles"
"2876","Sculpture"
"2877","Painting"
"2878","Photography"
"2879","Painting"
"2880","Painting"
"2881","Painting"
"2883","Drawing"
"2883","Graphics"
"2884","Painting"
"2885","Sculpture"
"2886","Glass"
"2886","Stained Glass"
"2888","Metalwork"
"2889","Painting"
"2890","Sculpture"
"2891","Woodcarving"
"2892","Painting"
"2893","Sculpture"
"2895","Computer Art"
"2896","Ceramics"
"2897","Painting"
"2898","Mixed Media"
"2898","Painting"
"2899","Painting"
"2899","Printmaking"
"2900","Painting"
"2901","Murals"
"2902","Photography"
"2903","Murals"
"2903","Painting"
"2904","Tapestry"
"2904","Textiles"
"2905","Painting"
"2906","Photography"
"2907","Portraits"
"2909","Painting"
"2909","Printmaking"
"2909","Stained Glass"
"2910","Painting"
"2912","Painting"
"2914","Drawing"
"2914","Painting"
"2915","Painting"
"2916","Painting"
"2917","Rosemaling"
"2919","Performance Art"
"2920","Fiber Art"
"2921","Painting"
"2922","Ceramics"
"2923","Drafting"
"2923","Painting"
"2924","Photography"
"2925","Drawing"
"2925","Painting"
"2926","Sculpture"
"2927","Rosemaling"
"2928","Sculpture"
"2929","Painting"
"2930","Photography"
"2931","Mixed Media"
"2931","Photography"
"2931","Portraits"
"2932","Painting"
"2933","Photography"
"2934","Plexiglass"
"2935","Sculpture"
"2936","Sculpture"
"2937","Fashion Design"
"2937","Painting"
"2937","Printmaking"
"2937","Watercolor"
"2938","Painting"
"2940","Painting"
"2941","Painting"
"2941","Printmaking"
"2941","Watercolor"
"2942","Painting"
"2943","Painting"
"2945","Painting"
"2946","Drawing"
"2947","Illustration"
"2947","Painting"
"2948","Painting"
"2949","Painting"
"2950","Fiber Art"
"2951","Sculpture"
"2953","Painting"
"2955","Fashion Design"
"2957","Performance Art"
"2959","Murals"
"2960","Drawing"
"2961","Painting"
"2962","Jewelry"
"2963","Painting"
"2964","Painting"
"2965","Photography"
"2966","Painting"
"2967","Painting"
"2969","Painting"
"2970","Ceramics"
"2970","Woodcarving"
"2971","Printmaking"
"2972","Photography"
"2973","Block Printing"
"2973","Drawing"
"2974","Fiber Art"
"2974","Mixed Media"
"2975","Drawing"
"2975","Painting"
"2977","Illustration"
"2977","Murals"
"2977","Painting"
"2978","Painting"
"2979","Painting"
"2980","Painting"
"2981","Painting"
"2982","Etching"
"2982","Painting"
"2982","Photography"
"2983","Lace Making"
"2984","Drawing"
"2984","Painting"
"2985","Painting"
"2986","Murals"
"2987","Installation"
"2989","Sculpture"
"2991","Drawing"
"2991","Painting"
"2992","Drawing"
"2994","Painting"
"2995","Painting"
"2996","Murals"
"2996","Painting"
"2997","Painting"
"2998","Textiles"
"2999","Conceptual Art"
"3000","Sculpture"
"3001","Painting"
"3001","Pastels"
"3004","Ceramics"
"3004","Fiber Art"
"3004","Jewelry"
"3006","Printmaking"
"3008","Printmaking"
"3010","Sculpture"
"3011","Ceramics"
"3011","Sculpture"
"3013","Painting"
"3015","Mixed Media"
"3016","Dollmaking"
"3017","Photography"
"3018","Bookbinding"
"3018","Photography"
"3019","Ceramics"
"3019","Drawing"
"3019","Wood Block Printing"
"3020","Block Printing"
"3020","Ceramics"
"3020","Painting"
"3020","Woodcarving"
"3021","Enameling"
"3021","Painting"
"3022","Installation"
"3023","Caricatures"
"3023","Painting"
"3024","Painting"
"3027","Painting"
"3028","Sculpture"
"3029","Photography"
"3030","Sculpture"
"3031","Painting"
"3032","Painting"
"3033","Painting"
"3033","Printmaking"
"3035","Painting"
"3036","Jewelry"
"3037","Painting"
"3038","Painting"
"3038","Sculpture"
"3039","Drawing"
"3041","Painting"
"3042","Etching"
"3042","Lithography"
"3042","Printmaking"
"3043","Painting"
"3043","Sculpture"
"3044","Drawing"
"3044","Painting"
"3044","Printmaking"
"3045","Painting"
"3045","Printmaking"
"3046","Fashion Design"
"3047","Painting"
"3049","Painting"
"3049","Printmaking"
"3049","Tattoo Artist"
"3050","Painting"
"3051","Painting"
"3052","Photography"
"3053","Painting"
"3054","Photography"
"3055","Ceramics"
"3055","Sculpture"
"3057","Jewelry"
"3058","Painting"
"3059","Photography"
"3060","Glass"
"3060","Painting"
"3060","Sculpture"
"3061","Photography"
"3062","Quilting"
"3063","Photography"
"3064","Jewelry"
"3064","Painting"
"3065","Miniatures"
"3066","Batik"
"3066","Fiber Art"
"3067","Painting"
"3068","Construction"
"3069","Advertising Design"
"3069","Graphics"
"3069","Murals"
"3069","Theater Design"
"3071","Painting"
"3072","Ceramics"
"3072","Painting"
"3073","Comics"
"3074","Glass"
"3075","Painting"
"3075","Sculpture"
"3076","Ceramics"
"3078","Design"
"3078","Painting"
"3079","Photography"
"3080","Bookbinding"
"3080","Drawing"
"3080","Painting"
"3081","Painting"
"3082","Painting"
"3083","Illustration"
"3085","Sculpture"
"3085","Watercolor"
"3086","Calligraphy"
"3087","Drawing"
"3088","Painting"
"3089","Painting"
"3090","Painting"
"3090","Sculpture"
"3092","Painting"
"3093","Block Printing"
"3093","Drawing"
"3094","Painting"
"3095","Installation"
"3095","Video Art"
"3097","Furniture"
"3098","Painting"
"3099","Installation"
"3100","Sculpture"
"3101","Painting"
"3103","Block Printing"
"3104","Interior Design"
"3104","Painting"
"3105","Painting"
"3106","Photography"
"3107","Photography"
"3108","Painting"
"3109","Painting"
"3110","Ceramics"
"3111","Metalwork"
"3112","Advertising Design"
"3113","Painting"
"3114","Painting"
"3115","Painting"
"3116","Painting"
"3118","Painting"
"3118","Printmaking"
"3121","Calligraphy"
"3122","Painting"
"3123","Installation"
"3124","Murals"
"3124","Painting"
"3125","Design"
"3127","Photography"
"3130","Painting"
"3131","Encaustic Painting"
"3132","Comics"
"3134","Jewelry"
"3135","Collage"
"3136","Photography"
"3137","Photography"
"3138","Painting"
"3139","Painting"
"3140","Textiles"
"3141","Sculpture"
"3142","Graphics"
"3142","Illustration"
"3143","Ceramics"
"3143","Sculpture"
"3144","Photography"
"3147","Painting"
"3148","Painting"
"3149","Sculpture"
"3150","Sculpture"
"3152","Printmaking"
"3153","Murals"
"3155","Sculpture"
"3156","Painting"
"3156","Printmaking"
"3157","Dollmaking"
"3159","Comics"
"3160","Drawing"
"3161","Furniture"
"3162","Painting"
"3163","Painting"
"3164","Ceramics"
"3165","Painting"
"3166","Painting"
"3167","Painting"
"3168","Basketmaking"
"3169","Painting"
"3170","Murals"
"3170","Painting"
"3171","Assemblage"
"3172","Painting"
"3173","Sculpture"
"3174","Watercolor"
"3175","Painting"
"3176","Painting"
"3177","Murals"
"3177","Painting"
"3179","Photography"
"3179","Printmaking"
"3180","Painting"
"3180","Sculpture"
"3181","Sculpture"
"3182","Drawing"
"3182","Painting"
"3182","Printmaking"
"3183","Sculpture"
"3184","Furniture"
"3185","Watercolor"
"3186","Ceramics"
"3186","Crafts"
"3188","Assemblage"
"3189","Holography"
"3190","Murals"
"3190","Painting"
"3191","Sculpture"
"3192","Painting"
"3193","Painting"
"3194","Painting"
"3195","Painting"
"3196","Ceramics"
"3197","Architecture"
"3197","Sculpture"
"3199","Postal Art"
"3200","Gallery Director"
"3200","Painting"
"3201","Murals"
"3203","Drawing"
"3204","Drawing"
"3205","Collage"
"3205","Conceptual Art"
"3205","Painting"
"3206","Painting"
"3207","Murals"
"3208","Painting"
"3209","Mixed Media"
"3210","Photography"
"3212","Screen Printing"
"3213","Illustration"
"3214","Photography"
"3215","Photography"
"3216","Painting"
"3217","Ceramics"
"3218","Painting"
"3219","Painting"
"3220","Painting"
"3221","Mixed Media"
"3222","Painting"
"3223","Ceramics"
"3224","Glass"
"3225","Sculpture"
"3226","Murals"
"3227","Sculpture"
"3228","Egg Tempera"
"3228","Painting"
"3229","Sculpture"
"3230","Needlework"
"3231","Design"
"3231","Stained Glass"
"3232","Painting"
"3233","Painting"
"3234","Painting"
"3235","Painting"
"3236","Sculpture"
"3237","Ceramics"
"3238","Painting"
"3239","Glass"
"3240","Painting"
"3241","Comics"
"3242","Glass"
"3243","Painting"
"3244","Collage"
"3244","Watercolor"
"3245","Painting"
"3246","Painting"
"3247","Photography"
"3248","Painting"
"3249","Caricatures"
"3250","Collage"
"3250","Drawing"
"3250","Sculpture"
"3252","Photography"
"3253","Painting"
"3254","Design"
"3254","Painting"
"3255","Painting"
"3256","Gouache"
"3256","Painting"
"3256","Watercolor"
"3257","Interior Design"
"3258","Painting"
"3259","Painting"
"3259","Printmaking"
"3260","Painting"
"3261","Drawing"
"3261","Painting"
"3262","Painting"
"3264","Painting"
"3266","Painting"
"3267","Photography"
"3268","Tapestry"
"3270","Painting"
"3271","Jewelry"
"3271","Metalwork"
"3271","Sculpture"
"3274","Photography"
"3275","Painting"
"3276","Painting"
"3276","Sculpture"
"3277","Painting"
"3278","Painting"
"3279","Murals"
"3280","Printmaking"
"3281","Photography"
"3282","Drawing"
"3283","Painting"
"3284","Painting"
"3284","Printmaking"
"3285","Etching"
"3285","Watercolor"
"3286","Painting"
"3286","Photography"
"3287","Photography"
"3288","Painting"
"3289","Painting"
"3290","Painting"
"3291","Photography"
"3292","Painting"
"3293","Painting"
"3294","Photography"
"3295","Painting"
"3296","Collage"
"3297","Ceramics"
"3297","Photography"
"3298","Painting"
"3299","Design"
"3299","Murals"
"3299","Sculpture"
"3300","Environmental Art"
"3300","Sculpture"
"3303","Painting"
"3304","Ceramics"
"3304","Sculpture"
"3306","Painting"
"3307","Murals"
"3307","Painting"
"3307","Printmaking"
"3308","Ceramics"
"3308","Drawing"
"3309","Sculpture"
"3310","Installation"
"3312","Photography"
"3314","Painting"
"3315","Painting"
"3316","Photography"
"3317","Painting"
"3318","Sculpture"
"3319","Painting"
"3321","Painting"
"3322","Painting"
"3324","Comics"
"3325","Sculpture"
"3326","Painting"
"3327","Painting"
"3328","Comics"
"3328","Sculpture"
"3329","Painting"
"3330","Collage"
"3330","Painting"
"3331","Painting"
"3332","Comics"
"3332","Painting"
"3333","Illustration"
"3334","Illustration"
"3335","Painting"
"3336","Sculpture"
"3337","Murals"
"3337","Painting"
"3337","Stained Glass"
"3338","Painting"
"3339","Comics"
"3340","Illustration"
"3340","Printmaking"
"3341","Sculpture"
"3342","Miniatures"
"3342","Watercolor"
"3343","Painting"
"3343","Sculpture"
"3344","Installation"
"3344","Performance Art"
"3345","Murals"
"3345","Painting"
"3346","Painting"
"3346","Sculpture"
"3347","Painting"
"3348","Painting"
"3349","Painting"
"3350","Mixed Media"
"3352","Painting"
"3353","Sculpture"
"3354","Drawing"
"3354","Painting"
"3356","Painting"
"3357","Painting"
"3358","Ceramics"
"3358","Sculpture"
"3359","Sculpture"
"3360","Drawing"
"3362","Painting"
"3363","Watercolor"
"3366","Painting"
"3367","Installation"
"3368","Painting"
"3369","Drawing"
"3369","Sculpture"
"3370","Painting"
"3371","Sculpture"
"3372","Painting"
"3372","Sculpture"
"3373","Drawing"
"3373","Jewelry"
"3373","Mixed Media"
"3373","Painting"
"3373","Textiles"
"3374","Mixed Media"
"3375","Mixed Media"
"3375","Painting"
"3376","Mixed Media"
"3376","Painting"
"3377","Photography"
"3378","Painting"
"3379","Drawing"
"3379","Painting"
"3379","Printmaking"
"3380","Sculpture"
"3381","Maskmaking"
"3382","Painting"
"3384","Photography"
"3385","Painting"
"3385","Sculpture"
"3387","Mixed Media"
"3387","Painting"
"3387","Printmaking"
"3388","Photography"
"3390","Photography"
"3391","Painting"
"3393","Painting"
"3393","Sculpture"
"3394","Painting"
"3395","Drawing"
"3396","Painting"
"3397","Painting"
"3397","Sculpture"
"3398","Painting"
"3399","Curator"
"3399","Painting"
"3400","Painting"
"3401","Sculpture"
"3402","Drawing"
"3402","Painting"
"3403","Watercolor"
"3404","Advertising Design"
"3404","Illustration"
"3404","Painting"
"3405","Sculpture"
"3406","Painting"
"3407","Batik"
"3408","Painting"
"3409","Painting"
"3411","Drawing"
"3411","Painting"
"3412","Painting"
"3413","Painting"
"3414","Design"
"3414","Painting"
"3414","Printmaking"
"3415","Painting"
"3416","Photography"
"3417","Drawing"
"3417","Painting"
"3421","Photography"
"3422","Photography"
"3423","Sculpture"
"3424","Painting"
"3425","Enameling"
"3427","Painting"
"3428","Installation"
"3428","Performance Art"
"3429","Painting"
"3430","Painting"
"3431","Painting"
"3432","Ceramics"
"3432","Sculpture"
"3433","Fiber Art"
"3434","Conceptual Art"
"3437","Weaving"
"3438","Advertising Design"
"3438","Graphics"
"3440","Marbling"
"3442","Painting"
"3443","Painting"
"3444","Painting"
"3445","Painting"
"3446","Painting"
"3447","Photography"
"3448","Illustration"
"3448","Painting"
"3449","Painting"
"3450","Comics"
"3450","Painting"
"3451","Painting"
"3453","Sculpture"
"3454","Printmaking"
"3455","Photography"
"3456","Painting"
"3457","Drawing"
"3457","Painting"
"3458","Printmaking"
"3459","Painting"
"3461","Drawing"
"3462","Murals"
"3463","Mixed Media"
"3464","Sculpture"
"3465","Painting"
"3466","Graphics"
"3466","Printmaking"
"3467","Textiles"
"3468","Drawing"
"3469","Painting"
"3470","Painting"
"3471","Printmaking"
"3472","Advertising Design"
"3472","Graphics"
"3475","Drawing"
"3475","Painting"
"3475","Sculpture"
"3476","Painting"
"3477","Woodcarving"
"3478","Sculpture"
"3479","Painting"
"3479","Reverse Painting"
"3481","Painting"
"3482","Construction"
"3484","Faux Finishing"
"3486","Etching"
"3486","Painting"
"3487","Painting"
"3488","Graphics"
"3488","Sculpture"
"3489","Photography"
"3490","Painting"
"3491","Bookbinding"
"3491","Drawing"
"3491","Installation"
"3492","Painting"
"3492","Sculpture"
"3494","Computer Art"
"3494","Quilting"
"3495","Painting"
"3495","Printmaking"
"3496","Sculpture"
"3498","Sculpture"
"3499","Painting"
"3500","Sculpture"
"3501","Painting"
"3502","Painting"
"3503","Sculpture"
"3504","Drawing"
"3504","Mixed Media"
"3504","Printmaking"
"3505","Painting"
"3506","Mixed Media"
"3507","Calligraphy"
"3507","Jewelry"
"3508","Painting"
"3509","Glass"
"3510","Photography"
"3512","Painting"
"3514","Painting"
"3516","Printmaking"
"3517","Construction"
"3519","Ceramics"
"3519","Sculpture"
"3520","Photography"
"3521","Photography"
"3522","Painting"
"3523","Drawing"
"3523","Painting"
"3524","Lithography"
"3524","Painting"
"3524","Watercolor"
"3525","Pyrography"
"3526","Interior Design"
"3527","Artists' Books"
"3527","Painting"
"3527","Printmaking"
"3528","Painting"
"3529","Painting"
"3530","Ceramics"
"3530","Mixed Media"
"3531","Painting"
"3534","Photography"
"3535","Drawing"
"3535","Painting"
"3536","Illustration"
"3536","Painting"
"3537","Painting"
"3538","Photography"
"3539","Printmaking"
"3540","Furniture"
"3541","Painting"
"3542","Painting"
"3543","Printmaking"
"3544","Sculpture"
"3545","Comics"
"3546","Painting"
"3548","Sculpture"
"3550","Design"
"3550","Illustration"
"3551","Drawing"
"3551","Photography"
"3551","Sculpture"
"3551","Video Art"
"3553","Design"
"3553","Painting"
"3555","Textiles"
"3556","Advertising Design"
"3556","Graphics"
"3557","Drawing"
"3557","Mixed Media"
"3557","Watercolor"
"3558","Crafts"
"3558","Design"
"3558","Weaving"
"3560","Painting"
"3561","Painting"
"3565","Painting"
"3567","Textiles"
"3569","Mixed Media"
"3570","Collage"
"3570","Watercolor"
"3571","Sculpture"
"3573","Fiber Art"
"3574","Crafts"
"3576","Macrame"
"3577","Design"
"3577","Glass"
"3579","Illustration"
"3580","Photography"
"3581","Painting"
"3582","Printmaking"
"3583","Collage"
"3583","Painting"
"3584","Construction"
"3584","Mixed Media"
"3585","Graphics"
"3587","Painting"
"3588","Comics"
"3589","Graffiti"
"3589","Murals"
"3591","Ceramics"
"3592","Painting"
"3593","Photography"
"3594","Jewelry"
"3595","Printmaking"
"3595","Sculpture"
"3596","Painting"
"3596","Printmaking"
"3597","Painting"
"3598","Performance Art"
"3599","Furniture"
"3600","Jewelry"
"3601","Mixed Media"
"3601","Painting"
"3601","Textiles"
"3602","Painting"
"3602","Sculpture"
"3603","Furniture"
"3603","Silversmithing"
"3603","Textiles"
"3604","Drawing"
"3605","Construction"
"3606","Furniture"
"3606","Sculpture"
"3607","Illustration"
"3607","Painting"
"3607","Printmaking"
"3608","Fiber Art"
"3609","Painting"
"3610","Mixed Media"
"3612","Painting"
"3613","Painting"
"3614","Photography"
"3615","Photography"
"3616","Furniture"
"3616","Metalwork"
"3617","Printmaking"
"3618","Painting"
"3620","Drawing"
"3620","Mixed Media"
"3621","Environmental Art"
"3623","Photography"
"3624","Painting"
"3625","Construction"
"3625","Installation"
"3625","Performance Art"
"3625","Sculpture"
"3626","Installation"
"3626","Sculpture"
"3627","Drawing"
"3627","Sculpture"
"3628","Fiber Art"
"3628","Installation"
"3629","Photography"
"3630","Sculpture"
"3631","Gallery Director"
"3632","Painting"
"3633","Jewelry"
"3633","Metalwork"
"3634","Ceramics"
"3637","Painting"
"3639","Painting"
"3640","Sculpture"
"3640","Video Art"
"3641","Painting"
"3642","Performance Art"
"3643","Scrimshaw"
"3646","Glass"
"3647","Ceramics"
"3650","Painting"
"3652","Sculpture"
"3654","Computer Art"
"3655","Sculpture"
"3656","Textiles"
"3656","Weaving"
"3657","Crafts"
"3658","Design"
"3658","Lithography"
"3658","Murals"
"3658","Painting"
"3659","Painting"
"3660","Comics"
"3661","Painting"
"3662","Painting"
"3663","Graffiti"
"3665","Ceramics"
"3665","Sculpture"
"3666","Painting"
"3667","Graphics"
"3668","Painting"
"3669","Painting"
"3670","Sculpture"
"3671","Postal Art"
"3672","Jewelry"
"3674","Painting"
"3674","Watercolor"
"3675","Fiber Art"
"3676","Painting"
"3677","Painting"
"3678","Painting"
"3679","Jewelry"
"3680","Murals"
"3680","Painting"
"3681","Installation"
"3681","Painting"
"3681","Photography"
"3681","Sculpture"
"3682","Painting"
"3683","Calligraphy"
"3684","Photography"
"3686","Painting"
"3687","Comics"
"3688","Graphics"
"3688","Pastels"
"3689","Painting"
"3690","Design"
"3690","Printmaking"
"3691","Ceramics"
"3692","Murals"
"3692","Painting"
"3693","Design"
"3693","Painting"
"3694","Ceramics"
"3694","Sculpture"
"3695","Sculpture"
"3696","Painting"
"3696","Watercolor"
"3697","Painting"
"3698","Painting"
"3698","Sculpture"
"3699","Painting"
"3700","Photography"
"3701","Painting"
"3702","Glass"
"3703","Painting"
"3704","Sculpture"
"3705","Advertising Design"
"3705","Graphics"
"3708","Painting"
"3709","Painting"
"3710","Painting"
"3711","Ceramics"
"3712","Sculpture"
"3713","Architecture"
"3713","Drawing"
"3713","Painting"
"3714","Fiber Art"
"3716","Drawing"
"3716","Installation"
"3716","Painting"
"3716","Photography"
"3716","Sculpture"
"3718","Photography"
"3719","Design"
"3720","Painting"
"3721","Illustration"
"3722","Etching"
"3722","Painting"
"3724","Icons"
"3725","Murals"
"3727","Painting"
"3727","Watercolor"
"3729","Painting"
"3730","Graphics"
"3730","Illustration"
"3731","Photography"
"3732","Fashion Design"
"3733","Murals"
"3733","Painting"
"3734","Painting"
"3735","Calligraphy"
"3735","Ketubot"
"3735","Painting"
"3737","Photography"
"3742","Sculpture"
"3743","Design"
"3744","Printmaking"
"3745","Sculpture"
"3746","Sculpture"
"3747","Painting"
"3748","Jewelry"
"3749","Painting"
"3750","Painting"
"3751","Sculpture"
"3752","Murals"
"3752","Painting"
"3753","Illustration"
"3754","Painting"
"3755","Sculpture"
"3756","Painting"
"3757","Mixed Media"
"3757","Painting"
"3758","Painting"
"3759","Watercolor"
"3760","Video Art"
"3761","Design"
"3761","Illustration"
"3761","Painting"
"3762","Mixed Media"
"3762","Painting"
"3763","Painting"
"3764","Painting"
"3765","Drawing"
"3765","Painting"
"3765","Pastels"
"3767","Sculpture"
"3768","Painting"
"3773","Painting"
"3774","Painting"
"3775","Painting"
"3777","Sculpture"
"3778","Painting"
"3778","Printmaking"
"3779","Painting"
"3780","Graphics"
"3780","Painting"
"3782","Painting"
"3783","Drawing"
"3783","Painting"
"3785","Lithography"
"3785","Painting"
"3785","Sculpture"
"3786","Mixed Media"
"3786","Painting"
"3787","Painting"
"3788","Sculpture"
"3789","Photography"
"3790","Illustration"
"3792","Jewelry"
"3794","Painting"
"3796","Painting"
"3797","Drawing"
"3797","Painting"
"3797","Photography"
"3797","Printmaking"
"3797","Watercolor"
"3798","Sculpture"
"3799","Painting"
"3800","Painting"
"3801","Furniture"
"3802","Painting"
"3803","Painting"
"3803","Textiles"
"3804","Cartoons"
"3804","Comics"
"3805","Painting"
"3806","Photography"
"3807","Painting"
"3808","Painting"
"3810","Collector"
"3810","Fiber Art"
"3811","Performance Art"
"3812","Graphics"
"3812","Painting"
"3813","Mixed Media"
"3813","Painting"
"3814","Sculpture"
"3815","Sculpture"
"3816","Jewelry"
"3816","Sculpture"
"3817","Photography"
"3818","Sculpture"
"3819","Sculpture"
"3820","Murals"
"3822","Painting"
"3823","Painting"
"3823","Sculpture"
"3824","Jewelry"
"3825","Photography"
"3826","Lithography"
"3828","Ceramics"
"3830","Illustration"
"3830","Painting"
"3831","Fiber Art"
"3831","Quilting"
"3832","Ceramics"
"3832","Photography"
"3833","Painting"
"3835","Sculpture"
"3836","Graphics"
"3837","Painting"
"3837","Printmaking"
"3838","Fiber Art"
"3838","Painting"
"3839","Puppetry"
"3840","Painting"
"3841","Sculpture"
"3844","Painting"
"3845","Sculpture"
"3846","Painting"
"3846","Watercolor"
"3847","Photography"
"3848","Photography"
"3849","Painting"
"3850","Painting"
"3851","Design"
"3851","Glass"
"3851","Murals"
"3851","Painting"
"3852","Ceramics"
"3853","Painting"
"3853","Sculpture"
"3853","Stained Glass"
"3854","Painting"
"3855","Painting"
"3856","Bookbinding"
"3857","Painting"
"3859","Jewelry"
"3859","Printmaking"
"3859","Sculpture"
"3861","Ceramics"
"3861","Painting"
"3861","Printmaking"
"3861","Stained Glass"
"3864","Advertising Design"
"3864","Graphics"
"3866","Basketmaking"
"3866","Maskmaking"
"3867","Painting"
"3869","Pastels"
"3870","Photography"
"3872","Mixed Media"
"3872","Painting"
"3873","Needlework"
"3873","Textiles"
"3874","Painting"
"3876","Painting"
"3876","Sculpture"
"3876","Silversmithing"
"3877","Sculpture"
"3878","Painting"
"3879","Photography"
"3880","Photography"
"3881","Calligraphy"
"3882","Construction"
"3882","Painting"
"3883","Furniture"
"3884","Collage"
"3884","Watercolor"
"3885","Painting"
"3886","Drawing"
"3886","Printmaking"
"3887","Painting"
"3889","Photography"
"3889","Video Art"
"3890","Photography"
"3891","Painting"
"3892","Sculpture"
"3893","Tattoo Artist"
"3894","Painting"
"3895","Photography"
"3896","Art Critic"
"3897","Photography"
"3898","Drawing"
"3899","Photography"
"3900","Photography"
"3901","Murals"
"3902","Tattoo Artist"
"3903","Installation"
"3904","Light Art"
"3904","Painting"
"3904","Printmaking"
"3905","Painting"
"3905","Watercolor"
"3906","Comics"
"3907","Painting"
"3908","Drawing"
"3908","Painting"
"3910","Painting"
"3911","Sculpture"
"3912","Graphics"
"3912","Typography"
"3913","Painting"
"3914","Painting"
"3915","Mixed Media"
"3915","Painting"
"3916","Illustration"
"3916","Painting"
"3917","Painting"
"3918","Advertising Design"
"3918","Graphics"
"3919","Painting"
"3920","Painting"
"3921","Landscape Architecture"
"3922","Design"
"3923","Painting"
"3924","Photography"
"3925","Sculpture"
"3926","Painting"
"3927","Illustration"
"3927","Murals"
"3928","Photography"
"3929","Painting"
"3930","Painting"
"3931","Jewelry"
"3932","Sculpture"
"3933","Printmaking"
"3934","Design"
"3935","Painting"
"3936","Photography"
"3937","Painting"
"3938","Painting"
"3941","Mixed Media"
"3941","Painting"
"3941","Printmaking"
"3942","Sculpture"
"3943","Drawing"
"3943","Painting"
"3944","Sculpture"
"3945","Ceramics"
"3946","Bookplates"
"3947","Mixed Media"
"3949","Collage"
"3949","Drawing"
"3949","Painting"
"3950","Ceramics"
"3951","Painting"
"3954","Printmaking"
"3955","Photography"
"3956","Sculpture"
"3957","Drawing"
"3957","Interior Design"
"3957","Painting"
"3958","Metalwork"
"3958","Sculpture"
"3959","Jewelry"
"3960","Sculpture"
"3961","Basketmaking"
"3962","Painting"
"3963","Painting"
"3964","Crafts"
"3965","Photography"
"3966","Design"
"3966","Painting"
"3967","Painting"
"3969","Painting"
"3970","Painting"
"3971","Painting"
"3974","Advertising Design"
"3974","Painting"
"3974","Watercolor"
"3975","Illustration"
"3975","Murals"
"3975","Painting"
"3976","Performance Art"
"3977","Painting"
"3978","Painting"
"3978","Sculpture"
"3979","Painting"
"3980","Furniture"
"3982","Sculpture"
"3983","Painting"
"3984","Painting"
"3985","Photography"
"3986","Painting"
"3987","Icons"
"3988","Painting"
"3989","Photography"
"3990","Gallery Director"
"3991","Watercolor"
"3992","Design"
"3992","Painting"
"3994","Comics"
"3995","Painting"
"3996","Photography"
"3998","Painting"
"3999","Collage"
"3999","Drawing"
"3999","Multimedia"
"3999","Painting"
"3999","Printmaking"
"4001","Painting"
"4002","Drawing"
"4003","Painting"
"4004","Photography"
"4005","Watercolor"
"4006","Painting"
"4007","Jewelry"
"4008","Fiber Art"
"4009","Sculpture"
"4010","Quilting"
"4011","Etching"
"4012","Painting"
"4013","Jewelry"
"4014","Drawing"
"4016","Puppetry"
"4017","Sculpture"
"4018","Painting"
"4019","Installation"
"4020","Furniture"
"4020","Interior Design"
"4021","Mixed Media"
"4021","Painting"
"4022","Painting"
"4023","Painting"
"4024","Sculpture"
"4025","Filmmaker"
"4025","Holography"
"4025","Installation"
"4025","Photography"
"4026","Painting"
"4027","Etching"
"4028","Photography"
"4029","Ceramics"
"4029","Sculpture"
"4030","Painting"
"4031","Ceramics"
"4032","Painting"
"4033","Painting"
"4033","Printmaking"
"4034","Photography"
"4035","Painting"
"4035","Sculpture"
"4036","Painting"
"4037","Collage"
"4039","Sculpture"
"4040","Painting"
"4041","Installation"
"4042","Painting"
"4043","Interior Design"
"4044","Painting"
"4045","Photography"
"4046","Painting"
"4046","Sculpture"
"4047","Painting"
"4048","Sculpture"
"4049","Jewelry"
"4050","Sculpture"
"4052","Painting"
"4053","Photography"
"4054","Advertising Design"
"4054","Graphics"
"4055","Graphics"
"4055","Lithography"
"4055","Painting"
"4056","Mixed Media"
"4057","Painting"
"4058","Lithography"
"4058","Painting"
"4059","Painting"
"4059","Printmaking"
"4060","Photography"
"4061","Painting"
"4062","Comics"
"4063","Assemblage"
"4063","Painting"
"4063","Sculpture"
"4063","Video Art"
"4065","Collage"
"4066","Photography"
"4067","Sculpture"
"4068","Painting"
"4070","Painting"
"4071","Painting"
"4073","Design"
"4074","Design"
"4075","Painting"
"4075","Sculpture"
"4076","Painting"
"4076","Sculpture"
"4077","Photography"
"4078","Photography"
"4079","Painting"
"4080","Painting"
"4080","Printmaking"
"4082","Painting"
"4083","Design"
"4083","Sculpture"
"4084","Bookbinding"
"4085","Painting"
"4086","Painting"
"4087","Installation"
"4088","Photography"
"4089","Advertising Design"
"4089","Graphics"
"4090","Photography"
"4091","Mixed Media"
"4092","Ceramics"
"4092","Sculpture"
"4094","Illustration"
"4094","Painting"
"4095","Painting"
"4097","Installation"
"4097","Mixed Media"
"4098","Painting"
"4099","Painting"
"4100","Jewelry"
"4102","Photography"
"4103","Painting"
"4104","Sculpture"
"4105","Painting"
"4105","Sculpture"
"4106","Painting"
"4107","Painting"
"4109","Painting"
"4109","Watercolor"
"4110","Painting"
"4110","Printmaking"
"4111","Photography"
"4112","Photography"
"4113","Painting"
"4114","Pastels"
"4115","Painting"
"4116","Painting"
"4118","Painting"
"4119","Painting"
"4120","Sculpture"
"4121","Jewelry"
"4122","Photography"
"4123","Mixed Media"
"4123","Watercolor"
