Artists_Accession_Number,Art_Term
"275","Advertising Design"
"275","Drawing"
"275","Graphics"
"276","Painting"
"276","Sculpture"
"277","Ceramics"
"278","Etching"
"278","Painting"
"279","Drawing"
"280","Painting"
"280","Watercolor"
"281","Photography"
"283","Illustration"
"283","Painting"
"284","Painting"
"285","Design"
"285","Illustration"
"285","Murals"
"285","Painting"
"287","Computer Art"
"287","Painting"
"288","Painting"
"289","Painting"
"290","Mixed Media"
"290","Painting"
"291","Comics"
"291","Illustration"
"292","Painting"
"293","Painting"
"294","Glass"
"295","Painting"
"295","Printmaking"
"297","Scratchboard"
"298","Painting"
"299","Bookbinding"
"299","Illustration"
"299","Painting"
"300","Painting"
"301","Etching"
"301","Painting"
"302","Installation"
"302","Painting"
"302","Watercolor"
"303","Painting"
"304","Sculpture"
"305","Fashion Design"
"305","Painting"
"306","Photography"
"307","Photography"
"309","Murals"
"309","Painting"
"310","Painting"
"310","Printmaking"
"310","Sculpture"
"311","Photography"
"312","Painting"
"314","Painting"
"314","Rosemaling"
"315","Painting"
"316","Painting"
"317","Installation"
"317","Multimedia"
"317","Performance Art"
"318","Art Critic"
"318","Collector"
"318","Curator"
"319","Painting"
"320","Painting"
"320","Textiles"
"321","Painting"
"322","Installation"
"322","Mixed Media"
"323","Ceramics"
"323","Sculpture"
"325","Painting"
"327","Painting"
"328","Painting"
"329","Drawing"
"329","Installation"
"329","Multimedia"
"329","Murals"
"329","Painting"
"330","Photography"
"331","Mixed Media"
"332","Graphics"
"332","Painting"
"332","Sculpture"
"332","Stained Glass"
"333","Batik"
"334","Assemblage"
"334","Painting"
"335","Painting"
"336","Painting"
"337","Painting"
"338","Murals"
"339","Painting"
"340","Painting"
"341","Painting"
"342","Drawing"
"342","Papermaking"
"343","Ceramics"
"346","Sculpture"
"347","Sculpture"
"348","Mixed Media"
"348","Sculpture"
"349","Photography"
"350","Painting"
"351","Ceramics"
"351","Printmaking"
"353","Collage"
"353","Sculpture"
"354","Sculpture"
"355","Photography"
"357","Fiber Art"
"358","Mixed Media"
"358","Painting"
"359","Painting"
"360","Bookbinding"
"360","Photography"
"361","Painting"
"363","Photography"
"364","Drawing"
"364","Painting"
"365","Ceramics"
"365","Sculpture"
"366","Enameling"
"366","Jewelry"
"366","Sculpture"
"367","Animation"
"367","Computer Art"
"367","Video Art"
"369","Collage"
"369","Installation"
"369","Photography"
"370","Sculpture"
"371","Fiber Art"
"371","Installation"
"371","Multimedia"
"371","Painting"
"371","Sculpture"
"372","Painting"
"373","Painting"
"374","Sculpture"
"375","Photography"
"377","Basketmaking"
"377","Maskmaking"
"378","Block Printing"
"378","Illustration"
"378","Lithography"
"378","Murals"
"379","Painting"
"380","Painting"
"381","Textiles"
"382","Drawing"
"382","Painting"
"382","Sculpture"
"383","Painting"
"384","Sculpture"
"385","Video Art"
"386","Photography"
"387","Murals"
"387","Painting"
"388","Installation"
"388","Performance Art"
"389","Quilting"
"390","Painting"
"391","Photography"
"392","Painting"
"394","Painting"
"395","Sculpture"
"396","Drafting"
"397","Painting"
"399","Painting"
"400","Ceramics"
"402","Painting"
"403","Painting"
"404","Sculpture"
"406","Painting"
"408","Painting"
"409","Painting"
"410","Advertising Design"
"410","Graphics"
"411","Advertising Design"
"411","Graphics"
"412","Advertising Design"
"412","Graphics"
"413","Advertising Design"
"413","Graphics"
"414","Advertising Design"
"414","Graphics"
"415","Painting"
"416","Painting"
"417","Painting"
"418","Ceramics"
"419","Murals"
"420","Bronzes"
"420","Painting"
"422","Painting"
"423","Bookbinding"
"423","Collage"
"423","Drawing"
"423","Photography"
"424","Ceramics"
"424","Sculpture"
"425","Photography"
"426","Illustration"
"427","Sculpture"
"428","Dollmaking"
"429","Photography"
"431","Sculpture"
"432","Collector"
"433","Murals"
"433","Painting"
"434","Drawing"
"434","Mixed Media"
"434","Painting"
"435","Painting"
"436","Design"
"436","Drawing"
"437","Painting"
"438","Mixed Media"
"439","Ceramics"
"440","Photography"
"440","Printmaking"
"441","Fiber Art"
"442","Sculpture"
"443","Painting"
"444","Design"
"445","Painting"
"446","Assemblage"
"446","Multimedia"
"446","Painting"
"446","Sculpture"
"447","Painting"
"449","Beadwork"
"449","Jewelry"
"450","Mixed Media"
"451","Printmaking"
"452","Painting"
"453","Painting"
"454","Sculpture"
"455","Painting"
"457","Printmaking"
"460","Embroidery"
"461","Photography"
"462","Graphics"
"462","Industrial Design"
"463","Murals"
"465","Collage"
"465","Painting"
"466","Painting"
"467","Batik"
"467","Embroidery"
"467","Painting"
"467","Tie Dying"
"468","Sculpture"
"469","Sculpture"
"470","Watercolor"
"471","Painting"
"473","Etching"
"473","Painting"
"473","Watercolor"
"474","Drawing"
"474","Painting"
"475","Collage"
"476","Comics"
"477","Landscapes"
"477","Painting"
"479","Painting"
"480","Video Art"
"482","Advertising Design"
"482","Painting"
"483","Photography"
"484","Medical Illustration"
"485","Murals"
"485","Sculpture"
"486","Ceramics"
"487","Installation"
"487","Sculpture"
"488","Painting"
"489","Painting"
"489","Printmaking"
"490","Painting"
"490","Printmaking"
"491","Drawing"
"491","Painting"
"492","Illustration"
"492","Mixed Media"
"493","Painting"
"494","Painting"
"495","Ceramics"
"495","Sculpture"
"496","Murals"
"496","Painting"
"496","Portraits"
"497","Computer Art"
"497","Mixed Media"
"497","Sculpture"
"498","Photography"
"501","Photography"
"503","Advertising Design"
"503","Graphics"
"504","Sculpture"
"507","Painting"
"508","Mixed Media"
"509","Mixed Media"
"510","Mixed Media"
"511","Murals"
"512","Sculpture"
"513","Glass"
"513","Graphics"
"513","Painting"
"513","Woodcarving"
"514","Icons"
"515","Drawing"
"515","Painting"
"516","Photography"
"517","Painting"
"519","Drawing"
"519","Painting"
"519","Photography"
"520","Sculpture"
"521","Drawing"
"522","Painting"
"525","Sculpture"
"527","Painting"
"528","Faux Finishing"
"529","Sculpture"
"530","Painting"
"530","Sculpture"
"531","Painting"
"532","Painting"
"533","Installation"
"534","Sculpture"
"535","Painting"
"535","Printmaking"
"536","Painting"
"537","Painting"
"538","Sculpture"
"539","Painting"
"541","Filmmaker"
"541","Video Art"
"542","Fiber Art"
"543","Sculpture"
"544","Painting"
"545","Drawing"
"545","Painting"
"545","Photography"
"545","Sculpture"
"546","Sculpture"
"547","Block Printing"
"547","Drawing"
"547","Painting"
"548","Painting"
"549","Advertising Design"
"549","Illustration"
"549","Murals"
"549","Painting"
"549","Watercolor"
"550","Painting"
"551","Painting"
"552","Photography"
"553","Painting"
"555","Painting"
"556","Painting"
"557","Painting"
"558","Painting"
"560","Painting"
"560","Sculpture"
"561","Painting"
"562","Etching"
"562","Lithography"
"562","Murals"
"562","Painting"
"562","Textiles"
"564","Photography"
"566","Painting"
"566","Printmaking"
"568","Installation"
"568","Mixed Media"
"568","Textiles"
"570","Photography"
"571","Painting"
"571","Photography"
"572","Drawing"
"572","Painting"
"574","Fiber Art"
"575","Ceramics"
"576","Collage"
"576","Painting"
"577","Painting"
"578","Painting"
"580","Miniatures"
"581","Painting"
"582","Conceptual Art"
"582","Installation"
"582","Performance Art"
"583","Photography"
"584","Drawing"
"584","Painting"
"585","Collage"
"585","Painting"
"585","Printmaking"
"587","Comics"
"589","Photography"
"590","Glyptics"
"591","Jewelry"
"592","Fiber Art"
"592","Mixed Media"
"594","Painting"
"595","Murals"
"596","Painting"
"596","Sculpture"
"597","Painting"
"598","Sculpture"
"599","Painting"
"600","Sculpture"
"601","Painting"
"602","Murals"
"602","Painting"
"603","Painting"
"604","Painting"
"605","Painting"
"606","Sculpture"
"608","Murals"
"609","Photography"
"610","Painting"
"611","Painting"
"611","Printmaking"
"613","Sculpture"
"614","Ceramics"
"615","Glass"
"617","Painting"
"618","Photography"
"619","Illustration"
"620","Photography"
"621","Painting"
"622","Murals"
"623","Ceramics"
"624","Illustration"
"624","Murals"
"624","Painting"
"624","Printmaking"
"624","Watercolor"
"625","Painting"
"626","Painting"
"627","Sculpture"
"628","Photography"
"629","Furniture"
"629","Quilting"
"629","Textiles"
"630","Photography"
"631","Graphics"
"631","Painting"
"632","Illustration"
"632","Painting"
"633","Painting"
"634","Painting"
"635","Painting"
"636","Photography"
"637","Painting"
"637","Pastels"
"638","Drawing"
"638","Printmaking"
"638","Watercolor"
"639","Woodcarving"
"640","Holography"
"641","Painting"
"643","Sculpture"
"644","Glass"
"644","Sculpture"
"645","Painting"
"646","Painting"
"647","Painting"
"648","Sculpture"
"649","Ceramics"
"649","Drawing"
"649","Installation"
"649","Murals"
"649","Painting"
"650","Installation"
"651","Photography"
"653","Painting"
"654","Ceramics"
"654","Photography"
"655","Painting"
"656","Painting"
"657","Fashion Design"
"658","Painting"
"659","Drawing"
"659","Etching"
"659","Painting"
"660","Jewelry"
"660","Sculpture"
"662","Illustration"
"662","Painting"
"663","Photography"
"664","Ceramics"
"664","Painting"
"667","Photography"
"668","Photography"
"669","Graphics"
"670","Graphics"
"672","Sculpture"
"673","Watercolor"
"674","Painting"
"675","Painting"
"676","Weaving"
"677","Faux Finishing"
"677","Painting"
"678","Painting"
"679","Photography"
"680","Painting"
"681","Collage"
"681","Painting"
"681","Papermaking"
"681","Printmaking"
"681","Sculpture"
"682","Glass"
"683","Ceramics"
"683","Glass"
"683","Multimedia"
"683","Sculpture"
"684","Painting"
"685","Advertising Design"
"685","Design"
"685","Graphics"
"687","Painting"
"688","Conceptual art"
"688","Photography"
"694","Painting"
"696","Painting"
"698","Ceramics"
"698","Fiber Art"
"699","Painting"
"702","Drawing"
"702","Painting"
"703","Painting"
"704","Drafting"
"704","Sculpture"
"705","Collage"
"705","Enameling"
"705","Gouache"
"705","Murals"
"705","Plexiglass"
"706","Sculpture"
"707","Painting"
"708","Sculpture"
"709","Conceptual Art"
"709","Sculpture"
"709","Street Art"
"710","Ceramics"
"711","Photography"
"713","Ceramics"
"714","Photography"
"715","Fiber Art"
"716","Painting"
"718","Jewelry"
"718","Sculpture"
"719","Sculpture"
"719","Video Art"
"720","Fashion Design"
"721","Printmaking"
"722","Installation"
"722","Painting"
"722","Sculpture"
"723","Painting"
"723","Sculpture"
"724","Sculpture"
"726","Ceramics"
"726","Painting"
"726","Sculpture"
"728","Painting"
"729","Installation"
"729","Sculpture"
"730","Photography"
"731","Sculpture"
"733","Painting"
"734","Advertising Design"
"734","Graphics"
"735","Photography"
"736","Installation"
"736","Light Art"
"737","Sculpture"
"739","Enameling"
"741","Sculpture"
"744","Painting"
"745","Painting"
"746","Painting"
"747","Silversmithing"
"748","Photography"
"749","Painting"
"750","Printmaking"
"751","Watercolor"
"752","Painting"
"753","Painting"
"755","Performance Art"
"758","Sculpture"
"759","Multimedia"
"759","Painting"
"761","Photography"
"762","Ceramics"
"764","Painting"
"767","Metalwork"
"767","Sculpture"
"768","Painting"
"769","Painting"
"770","Metalwork"
"771","Collage"
"772","Mixed Media"
"773","Painting"
"774","Ketubot"
"775","Photography"
"777","Painting"
"778","Photography"
"779","Painting"
"781","Illustration"
"781","Painting"
"783","Glass"
"784","Painting"
"785","Ceramics"
"786","Collage"
"787","Fiber Art"
"788","Painting"
"789","Painting"
"790","Illustration"
"790","Painting"
"792","Painting"
"793","Mixed Media"
"794","Painting"
"795","Environmental Art"
"795","Painting"
"796","Painting"
"797","Design"
"798","Illustration"
"799","Installation"
"799","Multimedia"
"799","Sculpture"
"800","Ceramics"
"801","Painting"
"803","Painting"
"804","Fiber Art"
"805","Painting"
"807","Sculpture"
"808","Painting"
"810","Advertising Design"
"810","Graphics"
"811","Sculpture"
"812","Drawing"
"813","Advertising Design"
"813","Graphics"
"815","Painting"
"816","Photography"
"817","Mixed Media"
"817","Photography"
"820","Filmmaker"
"821","Painting"
"822","Painting"
"822","Printmaking"
"823","Painting"
"824","Collage"
"824","Painting"
"825","Painting"
"826","Furniture"
"827","Murals"
"828","Painting"
"829","Painting"
"830","Painting"
"831","Installation"
"831","Murals"
"833","Painting"
"834","Murals"
"834","Painting"
"835","Sculpture"
"837","Painting"
"837","Sculpture"
"838","Illustration"
"838","Painting"
"839","Sculpture"
"840","Interior Design"
"841","Photography"
"842","Ceramics"
"842","Mixed Media"
"842","Painting"
"843","Murals"
"843","Painting"
"843","Sculpture"
"844","Painting"
"846","Painting"
"846","Sculpture"
"847","Ceramics"
"848","Drawing"
"849","Ceramics"
"850","Photography"
"851","Sculpture"
"853","Painting"
"854","Sculpture"
"856","Painting"
"857","Graphics"
"857","Painting"
"857","Sculpture"
"858","Comics"
"862","Collector"
