Artist_Accession_Number,Article_Citation
"6336","Time 3/2/92, p. 61"
"3453","Vantage Point 5/89"
"609","View Camera"
"3848","View Camera Mar/Apr 2000"
"2378","View Camera Mar/Apr 2000"
"5494","View Camera Mar/Apr 2000"
"8304","Washington Post 10/30/89"
"2669","Washington Post 9/9/91 pB1"
"731","Wednesday Journal"
"6458","White Walls #43, 2001"
"8285","Whitewalls #31 1992/93"
"1890","Whitewalls #4, 2001"
"3539","Whitewalls #43, 2001"
"1019","Whitewalls #43, 2001"
"1112","Whitewalls #43, 2001"
"1087","Whitewalls #43, 2001"
"5237","Whitewalls #43, 2001"
"4896","Whitewalls #43, 2001"
"4613","Whitewalls #43, 2001"
"4356","Whitewalls #43, 2001"
"6706","Whitewalls #48, 2001"
"126","Whitewalls"
"902","Whitewalls"
"464","Whitewalls"
"760","Whitewalls"
"265","Women Artists News"
"1257","Women in the Arts  Winter 2002"
"2669","Wall Street Journal 3/27/85 p. 1, sect. 1"
"3453","Ebony 24, 80-2+ 4/69"
"8194","Ebony, 7/67 pp.25-28, 32"
"5345","Elm Leaves 5/7/86, p. ?"
"7133","New York Times 12/4/70"
"8194","Today's Art, 6/72"
"7339","Town & Country 8/92"
"3130","Townsfolk 26:17 3/56"
"9075","dog fancier april 6th 1992"
"9075","Library Journal 7/15/06"
"2877","Art Digest, Vol. II, mid-Jan, 1928, No. 8, p. 4"
"726","Sun Times 5/20/1975"
"726","Chicago Sun - Times. Chicago, Ill.: Nov 6, 1986. p. 75"
"4705","American Artist 4/86 p. 72"
"7339","American Photography 16:36-51 5/86"
"7155","American Art Annual 1915"
"462","American Artist"
"4698","American Artist 16:30-1 F'52"
"7114","American Artist 2/85, pp. 62-71"
"7441","American Artist 7/90"
"2037","American Artist Nov. 1984"
"4591","American Craft Jun/Jul 1993"
"8193","American Furniture, 2001 p.243-246"
"827","American Libraries"
"3534","Aperture 9:25, 1961"
"7749","Aperture 9:25, 1961"
"2206","Aperture Fall 1990 #121"
"2705","Aperture, # 103, Summer 1988, pp. 38-47"
"3737","Aperture, 9:25 1961"
"2515","Arch and Eng 169:19 Apr '47"
"4698","Architectural Forum 110:118 June '54"
"4698","Architectural Forum 58:Sup 18 Jan. '33"
"4698","Architectural Forum 98:111 Jan. '53"
"7317","Art & Antiques 3/88"
"462","Art & Industry"
"5993","Art & Industry Jan-June 1939"
"433","Art Digest"
"2515","Art Digest 10:19 S '36"
"2335","Art Digest 14:12 N 15 '39"
"2515","Art Digest 18:12 July '44"
"4698","Art Digest 19:15 Dec. 1 '44"
"4698","Art Digest 20:18 Jan. 1 '33"
"4698","Art Digest 21:13 May 1 '47"
"4698","Art Digest 22:16 Dec. 15 '47"
"4698","Art Digest 22:9 Feb. 15 '48"
"4698","Art Digest 25:33 Jan. 15 '51"
"4698","Art Digest 29:11 Apr. 1 '55"
"4698","Art Digest 7:11 Oct. 15 '32"
"3514","Art Digest 7:13 JL'33"
"4698","Art Digest 7:15 Feb. 15 '33"
"4698","Art Digest 7:3 Feb. 1 '33"
"8167","Art Forum 6 9/67:16-22"
"8179","Art Forum v.23 5/85 p.43"
"8179","Art Forum v.25 3/87 p.71"
