Artist_Accession_Number,call_number,pages,notes
"378","N6512.F26 1985","",""
"378","N6530.I4S73","",""
"378","N6535.C5C476 2004","",""
"378","N6536.W56 1999","",""
"378","ND1245.C5J32","",""
"378","ND236.P3","",""
"378","Z5961.C45B59 1991","",""
"379","N6512.5.C55I5","",""
"380","N5020.C5C564 1957","",""
"380","N6512.5.C55 B654 2007","",""
"380","N6535.C5A164 1995","",""
"380","N6535.C5A17 1962","",""
"380","N6535.C5C467 1989","",""
"380","N6535.C5C474 1983","",""
"380","N6538.J4Y64 1989","",""
"380","N8665.R53 1997","",""
"380","ND235.C45 B54 2007","",""
"385","N6535.C5C467 1989","",""
"386","N6535.C5C49 1989","",""
"389","N6535.C5C45 2000","",""
"389","N6535.C5C45 2001","",""
"395","N6512.F26 1985","",""
"395","N6536.W56 1999","",""
"396","N6535.C5C467 1989","",""
"397","N6512.F26 1985","",""
"397","N6536.W56 1999","",""
"400","N6490.R62 2000","",""
"400","NE42.K46P37","",""
"400","Z271.3.B65C69 2011","",""
"402","N531.U6L6 1987","",""
"402","N6535.C5M55","",""
"402","N6535.C5S3","",""
"402","N7618 .H39 2013","",""
"403","N6535.C5C45 2000","",""
"403","N6535.C5C45 2001","",""
"407","N531.A63A5 1993","",""
"408","ND222.C46 1987","",""
"409","N6535.C5C467 1989","",""
"410","NC997.A1T8","",""
"411","NC997.A1T8","",""
"412","NC997.A1T8","",""
"413","NC997.A1T8x","",""
"414","NC997.A1T8","",""
"416","N5020.C5C564 1957","",""
"418","NK835.I4I4 1979","",""
"422","N6535.C5C467 1989","",""
"423","Z271.3.B65C69 2011","",""
"425","TR161.N4","",""
"425","TR645.C552A78 2002","",""
"428","NK4894.15.R924 1995","",""
"429","TR654.L356 1986","",""
"430","N6535.C5C45 1998","",""
"430","N6535.C5S86 1998","",""
"431","N6530.I4S73","",""
"431","N6535.C5C69 2007","",""
"431","N6538.N5A76 1999","",""
"431","N6538.N5W7 1978","",""
"431","ND238.N5A7 1970","",""
"433","HS2725.C4U76 1987","",""
"433","N5216.I32C43","",""
"433","N531.U6L6 1987","",""
"433","N6512.F26 1985","",""
"433","N6530.I4S73","",""
"433","N6535.C5C476 2004","",""
"433","N6536.W56 1999","",""
"433","ND217.B37","",""
"433","ND235.C45G74 2004","",""
"433","ND2638.C4G73 2001","",""
"433","Z5961.C45B59 1991","",""
"435","N5020.C5C564 1957","",""
"435","N6512.C5(missing)","",""
"435","N6512.F26 1985","",""
"435","N6530.I4A37 1983","",""
"435","N6530.I4S73","",""
"435","N6535.C5C36 1999","",""
"435","N6535.C5C476 2004","",""
"435","N6535.C5O43 1990","",""
"435","N6535.C5R4 2011","",""
"435","N6536.W56 1999","",""
"435","NC11.C5Y6","",""
"435","ND1245.C5J32","",""
"435","ND235.C45G74 2004","",""
"435","ND235.C45N49 1993","",""
"435","Z5961.C45B59 1991","",""
"436","N6512.A67 2001","",""
"436","N72.R4N67 1990","",""
"436","Z271.3.B65C69 2011","",""
"437","N6535.C5C45 2001","",""
"437","ND212.N3678 no. 41","",""
"441","TT751.B3 1979","",""
"443","N531.A63A5 1993","",""
"446","N5020.C55 yr. 1973 v. 74","",""
"446","N5020.C5C564 1957","",""
"446","N6512.5.F68A4 1990","",""
"446","N6512.B69 1985","",""
"446","N6530.C5R4 1986","",""
"446","N6535.C5A17 1962","",""
"446","N6535.C5A37 1985","",""
"446","N6535.C5C37 1991","",""
"446","N6535.C5C467 1989","",""
"446","N6535.C5C474 1983","",""
"446","n6535.c5c69 2007","",""
"446","N6535.C5R4 2011","",""
"446","N6535.C5S3","",""
"446","N8217.F43F47 1986","",""
"446","NB1203.M44 1974","",""
"446","NX511.C45A78 1996","",""
"446","Z5961.C45B59 1991","",""
"449","NK3649.55.U6A15 2006","",""
"449","NK3650.H46 2012","",""
"450","N6535.C5C467 1989","",""
"451","N6512.F26 1985","",""
"451","N6530.I4S73","",""
"451","N6536.W56 1999","",""
"452","N6512.F26 1985","",""
"452","N6530.I4S73","",""
"452","N6536.W56 1999","",""
"453","N6512.F26 1985","",""
"453","N6530.I4S73","",""
"453","N6536.W56 1999","",""
"454","AM7 .A78 2005","",""
"454","NB198.6.C75 2006","",""
"457","N6535.C5C467 1989","",""
"462","N6512.F26 1985","",""
"462","N8838.K46 2009","",""
"462","NC998.4.R4 1989","",""
"3","N6535.C5C467 1989","",""
"5","N6535.C5 C467 1989","",""
"7","N6510.F34 1990","",""
"8","HE8696.A24 1999","",""
"8","PN6728.6.F3A7 1995","",""
"9","N11.C5Y6","",""
"9","N5020.C55 yr. 1938 v. 42","",""
"9","N5020.C5C564 1957","",""
"9","N6510.F34 1990","",""
"9","N6530.I4A37 1983","",""
"9","N6530.I4I43 1981","",""
"9","N6530.I4I5","",""
"9","N6535.C4C53","",""
"9","N6535.C5C476 2004","",""
"9","N6535.C5C49 1989","",""
"9","N6535.C5C69 2007","",""
"9","N6535.C5R4 2011","",""
"9","N6536.W56 1999","",""
"9","N6537.A286I44 1983","",""
"9","N6537.A437A4 1997","",""
"9","N8665.R53 1997","",""
"9","N8838.B4","",""
"9","ND235.C45G74 2004","",""
"9","ND235.C45N49 1993","",""
"9","ND237.A235A4 1991","",""
"9","NX511.C45A78 1996","",""
"9","Z5961.C45B59 1991","",""
"10","N6535.C5S86 1998","",""
"12","N6535.C4N3 1976","",""
"13","N6510.F34 1990","",""
"13","N6512.F26 1985","",""
"13","N6536.W56 1999","",""
"20","N6510.F34 1990","",""
"20","N6536.W56 1999","",""
"21","N6487.C52M875","",""
"21","N6535.C5C467 1989","",""
"21","N6535.C5C47","",""
"21","NC108.L495","",""
"21","NX650.S68S685 2011","",""
"21","NX652.G38I5 1995","",""
"24","N6535.C5C49 1989","",""
"25","N531.U6L6 1987","",""
"27","ND2611.C47C7","",""
"28","N6536.W56 1999","",""
"32","N11.C5Y6","",""
"32","N5020.C5C564 1957","",""
"32","N6510.F34 1990","",""
"32","N6512.F26 1985","",""
"32","N6535.C5C476 2004","",""
"32","N6536.W56 1999","",""
"32","N8640.R527C3","",""
"32","ND1245.C5J32","",""
"32","ND235.C45 B54 2007","",""
"32","ND235.C45G74 2004","",""
"32","ND235.C45N49 1993","",""
"32","ND235.C4E96 1933","",""
"33","N6530.I4S73","",""
"33","N6536.W56 1999","",""
"37","N5020.C5C564 1957","",""
"37","N6535.C5C467 1989","",""
"39","N5020.C55 yr. 1973 v. 74","",""
"39","N5020.C5C564 1957","",""
"39","N6510.F34 1990","",""
"39","N6512.F26 1985","",""
"39","N6535.C4C53","",""
"39","N6536.W56 1999","",""
"39","ND237.A42L4 1977","",""
"40","N72.R4N67 1990","",""
"42","N6535.C5C47 1981","",""
"43","NB198.6.K72","",""
"43","NB235.C45N5 2010","",""
"44","N5020.C55 yr. 1974/75 v. 75","",""
"44","N6535.C5S86 1998","",""
"46","N6510.F34 1990","",""
"46","N6512.F26 1985","",""
"46","N6536.W56 1999","",""
"48","N531.A63A5 1993","",""
"48","N8354.W66 1986","",""
"51","N5020.C47N36 1980","",""
"51","N5020.C5C563 1987","",""
"51","N6490.C6567 1989","",""
"51","N6530.I4I52","",""
"51","N6535.C54C54","",""
"51","N6535.C5C467 1989","",""
"51","N6535.C5C478 1978","",""
"51","N6535.C5C76 1976","",""
"51","NC95.5.A2508 2000","",""
"51","ND222.C66 1977","",""
"52","N6535.C5C467 1989","",""
"53","TR139.M63 1985","",""
"54","N6535.C5C467 1989","",""
"54","NK1394.M87 2008","",""
"56","N72.R4N67 1990","",""
"57","N5220.F76F75 2002","",""
"57","N6510.F34 1990","",""
"57","N6512.F26 1985","",""
"57","N6536.W56 1999","",""
"59","N5020.C5C564 1957","",""
"59","N6512.5.C55 B654 2007","",""
"59","N6535.C5A17 1962","",""
"59","N6535.C5C467 1989","",""
"59","N6536.W56 1999","",""
"60","N531.A63A5 1993","",""
"61","N531.A63A5 1993","",""
"61","NX511.C45A78 1996","",""
"61","NX600.P47N2","",""
"62","N8217.C76S94 1999c","",""
"62","NK3655.F67 2004","",""
"65","NK835.I3C726","",""
"66","N6535.C5C45 1999","",""
"66","N6535.C5C45 2000","",""
"67","N6538.N5D48 1990","",""
"67","N8844.G83 2000","",""
"67","ND2638.C4G73 2001","",""
"67","ND2639.3.A35D86 2000","",""
"67","ND2639.3.A35P75 2000","",""
"73","NX427.C4R44 1994","",""
"76","N6510.F34 1990","",""
"76","N6536.W56 1999","",""
"78","N6536.C5C467 1989","",""
"79","N6530.I5A78","",""
"80","N6535.C5C45 1998","",""
"80","N6535.C5C45 1999","",""
"80","N6535.C5C45 2000","",""
"80","N6535.C5C45 2001","",""
"80","N6535.C5C45 2002","",""
"80","N8217.C76S94 1999c","",""
"81","N5220.F76F75 2002","",""
"81","N531.U6L6 1987","",""
"81","N6510.F34 1990","",""
"81","N6510.R48 1993","",""
"81","N6512.F26 1985","",""
"81","N6535.C4A34","",""
"81","N6535.C5C69 2007","",""
"81","N6536.W56 1999","",""
"81","N8650.L467","",""
"81","ND235.C45G74 2004","",""
"81","NX767.C4C54 1929","",""
"81","Z5961.C45B59 1991","",""
"82","N11.C5Y6","",""
"82","N33.P68","",""
"82","N5020.C5C564 1957","",""
"82","N6510.F34 1990","",""
"82","N6512.F26 1985","",""
"82","N6512.N4","",""
